Values,NetSuite Value Internal ID,Label,NetSuite field  ID,HubSpot field ID
New Requirement,1,Buying Reason,buyingreason,buying_reason
Other,3,Buying Reason,buyingreason,buying_reason
Replace Existing,2,Buying Reason,buyingreason,buying_reason
1 - 3 months,2,Buying Time Frame,buyingtimeframe,buying_time_frame
10 - 12 months,5,Buying Time Frame,buyingtimeframe,buying_time_frame
4 - 6 months,3,Buying Time Frame,buyingtimeframe,buying_time_frame
7 - 9 months,4,Buying Time Frame,buyingtimeframe,buying_time_frame
Greater than 1 year,6,Buying Time Frame,buyingtimeframe,buying_time_frame
Less than 1 month,1,Buying Time Frame,buyingtimeframe,buying_time_frame
Cold,1,Sales Readiness,salesreadiness,sales_readiness
Hot,3,Sales Readiness,salesreadiness,sales_readiness
Warm,2,Sales Readiness,salesreadiness,sales_readiness
"$8,000 - $13,000",1,Projected Value,custentity_projected_value,projected_value
"$15,000 ",2,Projected Value,custentity_projected_value,projected_value
"$15,000 - $29,000",3,Projected Value,custentity_projected_value,projected_value
"$39,000 - $44,000",4,Projected Value,custentity_projected_value,projected_value
"$50,000 - $65,000",5,Projected Value,custentity_projected_value,projected_value
"$69,000 -$77,000",6,Projected Value,custentity_projected_value,projected_value
"$78,000 - $107,000",7,Projected Value,custentity_projected_value,projected_value
"$106,000 - $140,000",8,Projected Value,custentity_projected_value,projected_value
"$177,000 - $200,000",9,Projected Value,custentity_projected_value,projected_value
"> $200,000",10,Projected Value,custentity_projected_value,projected_value
