custentity_hs_vid,salesreadines,buyingtimeframe,buyingreason,Projected Value
90881,,,,"$15,000 - $29,000"
157187,,,,"$15,000"
81922,,,,"$15,000"
189702,,,,"$15,000 - $29,000"
103174,,,,"$50,000 - $65,000"
59913,,,,"$15,000"
209161,,,,"$15,000"
158220,,,,"$15,000"
158483,,,,"$15,000 - $29,000"
50450,,,,"$15,000"
208401,,,,"$39,000 - $44,000"
55827,,,,"$50,000 - $65,000"
186395,,,,"$15,000 - $29,000"
51232,,,,"$39,000 - $44,000"
53799,,,,"$15,000 - $29,000"
93478,Cold,,,
56361,,,,"$15,000 - $29,000"
83249,,,,"$15,000 - $29,000"
44851,,,,"$15,000 - $29,000"
105017,,,,"$15,000 - $29,000"
55609,,,,"$15,000"
131132,,,,"$39,000 - $44,000"
198204,,,,"$15,000 - $29,000"
158276,,,,"$15,000"
133709,,,,"$15,000"
77908,,,,"$15,000 - $29,000"
156501,,,,"$15,000 - $29,000"
223572,,,,"$15,000 - $29,000"
105305,Warm,,,"$39,000 - $44,000"
90714,,,,"$15,000 - $29,000"
66399,,,,"$15,000"
73056,Cold,,,
163683,,,,"$39,000 - $44,000"
53603,,,,"$15,000 - $29,000"
43878,,,,"$39,000 - $44,000"
93544,,,,"$39,000 - $44,000"
50804,,,,"$15,000"
116853,,,,"$15,000 - $29,000"
52855,,,,"$15,000"
144762,,,,"$39,000 - $44,000"
101243,,,,"$50,000 - $65,000"
112763,,,,"$15,000"
103034,,,,"$15,000 - $29,000"
185470,,,,"$15,000 - $29,000"
99711,,,,"$39,000 - $44,000"
228225,,,,"$15,000 - $29,000"
72066,,,,"$15,000 - $29,000"
93314,,,,"$15,000 - $29,000"
73092,,,,"$15,000 - $29,000"
115081,,,,"$39,000 - $44,000"
35979,Cold,,,
38287,,,,"$15,000"
211857,,,,"$15,000 - $29,000"
227472,,,,"$15,000"
57748,,,,"$15,000 - $29,000"
102037,,,,"$15,000 - $29,000"
154006,,,,"> $200,000"
51093,,,,"$15,000 - $29,000"
38296,,,,"$15,000 - $29,000"
105373,,,,"$50,000 - $65,000"
200350,,,,"$177,000 - $200,000"
226974,,,,"$39,000 - $44,000"
116383,,,,"$15,000 - $29,000"
41120,,,,"> $200,000"
116897,,,,"$78,000 - $107,000"
57506,,,,"$177,000 - $200,000"
184484,,,,"$15,000"
174763,,,,"$50,000 - $65,000"
172968,,,,"$39,000 - $44,000"
44716,,,,"$39,000 - $44,000"
132273,,,,"$15,000 - $29,000"
49081,,,,"$15,000 - $29,000"
59581,,,,"$15,000"
83644,,,,"$15,000 - $29,000"
90561,,,,"$15,000"
120001,,,,"$15,000 - $29,000"
159170,,,,"$15,000 - $29,000"
184259,,,,"$39,000 - $44,000"
143552,,,,"$15,000 - $29,000"
95426,,,,"$50,000 - $65,000"
184519,,,,"$15,000 - $29,000"
49609,,,,"$15,000"
91596,,,,"$15,000"
119763,Warm,,,
98514,,,,"$15,000 - $29,000"
184537,,,,"$15,000 - $29,000"
90845,,,,"$15,000"
71390,,,,"$15,000 - $29,000"
126947,,,,"$15,000"
160229,,,,"$15,000"
159210,,,,"$39,000 - $44,000"
39401,Warm,,,
137455,,,,"$15,000 - $29,000"
214765,,,,"$78,000 - $107,000"
44794,,,,"$15,000"
85499,Cold,,,
60158,Cold,,,
118015,,,,"$15,000 - $29,000"
141052,,,,"> $200,000"
202493,Cold,,,
4489540,,,,"$15,000"
265477,,,,"$39,000 - $44,000"
4488512,,,,"$15,000"
4475725,,,,"$15,000 - $29,000"
247817,,,,"$15,000 - $29,000"
4474702,Cold,,,
4473935,Warm,,,
4475465,Warm,,,
5038401,,,,"$15,000"
4475989,,,,"$39,000 - $44,000"
4495958,,,,"$15,000 - $29,000"
4491344,,,,"$15,000 - $29,000"
